model,rows,roc_auc,pr_auc,precision,recall,f1,top20_precision,split
logistic_regression,33338,0.7324733331572686,0.3719138854884816,0.3121208444552293,0.7719429857464366,0.44451164197157544,0.3968801559922004,validation
logistic_regression,49385,0.7322725990484455,0.3821583684420302,0.3109812108559499,0.7562956945572705,0.44073613823303154,0.410347271438696,test
random_forest,33338,0.7844649048889147,0.4902783300563911,0.37237911025145065,0.7221305326331583,0.49137314956610517,0.4943752812359382,validation
random_forest,49385,0.7849856863709214,0.501022928292294,0.37657370517928285,0.7198415922014623,0.4944721515014125,0.49600080996253926,test
