model,split,rows,positive_rate,roc_auc,average_precision,top20_precision_by_quarter
logistic,validation,75,0.2,0.4855555555555556,0.2515930241102692,0.2
random_forest,validation,75,0.2,0.5244444444444444,0.2141094155282572,0.2
recent_growth_baseline,validation,75,0.2,0.4666666666666667,0.20123656197580764,0.13333333333333333
recent_growth_baseline,test,75,0.2,0.4122222222222222,0.17712026249413343,0.0
logistic,test,75,0.2,0.5422222222222223,0.2796124790591301,0.2
random_forest,test,75,0.2,0.7444444444444445,0.49705761367841894,0.4666666666666667
