name,metric,value_2021,value_2025,change
성수1가1동,amount,7618462651.25,9323190763.0,0.22376274450466682
성수1가1동,count,367998.25,421358.75,0.145002048243436
성수1가1동,stores,207.25,266.75,0.287092882991556
성수1가1동,population,3095416.75,3118957.5,0.007605034120203635
성수1가1동,cafe_share,0.08950480588877792,0.11514674038564741,0.025641934496869495
성수1가1동,young_share,0.5193822104820369,0.41678957599319366,-0.10259263448884326
성수1가1동,weekend_share,0.34631703027740757,0.33231335355648706,-0.01400367672092051
성수1가1동,opening_rate,0.0699662411481338,0.03377753526256503,-0.036188705885568766
성수1가1동,closure_rate,0.03543121823995663,0.050536485975607226,0.015105267735650595
성수1가1동,western_share_common,0.1361910994638727,0.19181140199215468,0.055620302528281984
성수1가1동,bakery_share_common,0.07616468965059667,0.058574839782808905,-0.017589849867787763
성수1가2동,amount,21658469161.0,29456339586.0,0.360037930983667
성수1가2동,count,1217537.25,1275988.25,0.048007566092947096
성수1가2동,stores,512.25,679.0,0.3255246461688628
성수1가2동,population,5949347.0,5555665.25,-0.06617226226676642
성수1가2동,cafe_share,0.23660814421623544,0.19754257120005989,-0.03906557301617555
성수1가2동,young_share,0.614231008460274,0.5638935400577297,-0.05033746840254427
성수1가2동,weekend_share,0.22941919711432948,0.22348166488307575,-0.005937532231253734
성수1가2동,opening_rate,0.0692971927636983,0.04383701574722622,-0.025460177016472088
성수1가2동,closure_rate,0.03937636150631411,0.047906269888444014,0.008529908382129907
성수1가2동,western_share_common,0.04403021089922563,0.030548553360873698,-0.013481657538351934
성수1가2동,bakery_share_common,0.01182389826808922,0.007647632449014976,-0.004176265819074244
성수2가1동,amount,14614100088.75,19832629934.25,0.35708868926641935
성수2가1동,count,1016972.5,920060.0,-0.09529510384990747
성수2가1동,stores,383.0,475.0,0.2402088772845954
성수2가1동,population,5553654.25,4927575.25,-0.11273280111018791
성수2가1동,cafe_share,0.19001041235838115,0.15187322621978572,-0.03813718613859543
성수2가1동,young_share,0.4596310045937809,0.5358987291362858,0.07626772454250486
성수2가1동,weekend_share,0.21427893049313407,0.27581101367105376,0.061532083177919694
성수2가1동,opening_rate,0.06360764923773841,0.03998486982944617,-0.023622779408292244
성수2가1동,closure_rate,0.04310255822327247,0.03841914444787358,-0.004683413775398888
성수2가1동,western_share_common,0.04211795355709411,0.08587125069509169,0.04375329713799758
성수2가1동,bakery_share_common,0.03482130617301278,0.027885483006486394,-0.006935823166526387
성수2가3동,amount,29382743685.25,40542226880.0,0.3797971800826758
성수2가3동,count,1706097.25,1942683.25,0.13867087588354066
성수2가3동,stores,598.5,703.25,0.1750208855472013
성수2가3동,population,5395503.0,5780053.5,0.0712724096344679
성수2가3동,cafe_share,0.14317623498258186,0.13248118600826658,-0.01069504897431528
성수2가3동,young_share,0.5823372297838854,0.5587247085198815,-0.023612521264003816
성수2가3동,weekend_share,0.18472744996118512,0.19819477776264083,0.013467327801455709
성수2가3동,opening_rate,0.07526238571894343,0.041564497207101765,-0.03369788851184167
성수2가3동,closure_rate,0.047103472086352335,0.04234450336297672,-0.004758968723375619
성수2가3동,western_share_common,0.038516132289416305,0.018492572345846045,-0.02002355994357026
성수2가3동,bakery_share_common,0.035611760705546065,0.031033385818633706,-0.004578374886912359
연남동,amount,28376989920.25,27847670251.0,-0.01865312955100551
연남동,count,1148089.75,968460.25,-0.15645945798227012
연남동,stores,891.0,1023.75,0.148989898989899
연남동,population,6898396.0,6489017.0,-0.059344085204734554
연남동,cafe_share,0.162131529282442,0.1597621798881485,-0.0023693493942935073
연남동,young_share,0.709525631100465,0.7050409934948394,-0.004484637605625563
연남동,weekend_share,0.39595295064185276,0.3930654085581389,-0.00288754208371389
연남동,opening_rate,0.07517667255498993,0.04002669596646451,-0.03514997658852542
연남동,closure_rate,0.04086785247879941,0.05201195753656995,0.01114410505777054
연남동,western_share_common,0.25885239360765533,0.22764756844131245,-0.031204825166342876
연남동,bakery_share_common,0.019180004687506927,0.029221405174371898,0.010041400486864971
한강로동,amount,33825792025.5,61302230381.5,0.8122925350953065
한강로동,count,1414619.75,1779327.75,0.2578134512825796
한강로동,stores,781.0,1071.25,0.3716389244558258
한강로동,population,5084100.75,5702037.75,0.12154302803696404
한강로동,cafe_share,0.12062206458362879,0.09006150066421165,-0.03056056391941714
한강로동,young_share,0.5573504592350657,0.6066390803537,0.0492886211186343
한강로동,weekend_share,0.18152504579650713,0.2698628535150672,0.08833780771856009
한강로동,opening_rate,0.06707109061203512,0.037804405825432236,-0.02926668478660288
한강로동,closure_rate,0.039093692772649485,0.03688482889217254,-0.0022088638804769467
한강로동,western_share_common,0.053189433273943536,0.061681033195649215,0.00849159992170568
한강로동,bakery_share_common,0.016969222911287656,0.007723808501520303,-0.009245414409767352
