quarter,admin,name,amount,count,cafe_amount,common_amount,western_amount,bakery_amount,known_age_amount,young_amount,weekend_amount,stores,openings,closures,population,cafe_share,young_share,weekend_share,opening_rate,closure_rate,western_share_common,bakery_share_common
20234,11110515,청운효자동,13134375086,635251,4524147368,7640962631,2897969711,505376584,11008435315,5803894220,4656549261,340,8,13,3605198,0.34445090370704523,0.5272224484156857,0.3545314665151782,0.023529411764705882,0.03823529411764706,0.37926761992562347,0.0661404339225069
20241,11110515,청운효자동,12191077103,583496,4562109055,6728827208,2582745698,548138245,10454557882,5407716706,4389528571,348,20,12,3586210,0.3742170619097593,0.5172592439619724,0.36006076689645555,0.05747126436781609,0.034482758620689655,0.38383296496740715,0.08146118603674508
20242,11110515,청운효자동,14002987182,638327,5583865051,7409772402,2790354130,589083035,12295785585,5777840160,4511764226,347,13,14,3697084,0.3987624196484107,0.46990410820505535,0.32220012539892934,0.037463976945244955,0.040345821325648415,0.37657757601931807,0.07950082715644523
20243,11110515,청운효자동,12192803053,569814,5286412379,6084179798,2237892994,444528762,10809035697,5221327201,3960872723,339,10,18,3461402,0.4335682579322312,0.483052082291592,0.3248533340350675,0.029498525073746312,0.05309734513274336,0.36782164043469645,0.07306305480093243
20244,11110515,청운효자동,16016157147,667824,6697471639,8470766229,3158550259,627728404,13892549571,6690542766,5189926481,337,6,9,3580355,0.41816970060477393,0.48159214633764363,0.32404317923242465,0.017804154302670624,0.026706231454005934,0.37287657026664006,0.07410526828741268
20251,11110515,청운효자동,11461465819,514605,4535266422,6268556210,2217678995,451701842,10093475888,4984908097,3950279205,337,6,6,3322244,0.39569689371509176,0.4938742760486,0.34465741706889785,0.017804154302670624,0.017804154302670624,0.3537782737693597,0.07205835392836016
20252,11110515,청운효자동,12962616518,615794,4603714789,7583472896,2569981474,572726376,11387902849,5765890508,4472145722,333,6,8,3549035,0.35515320403155043,0.506317149386844,0.3450033190282178,0.018018018018018018,0.024024024024024024,0.3388924189806981,0.07552296735999306
20253,11110515,청운효자동,11412724092,509812,4195134430,6641022135,2372452952,405534986,9798866138,4771526295,3471735047,335,8,7,3274798,0.3675839699779189,0.48694677810691,0.30419863119564844,0.023880597014925373,0.020895522388059702,0.3572421389015593,0.06106514596039665
20254,11110515,청운효자동,13255170532,592035,4724282512,7902601176,2676952420,590980955,11408867784,6186093613,4308353729,340,13,8,3348036,0.3564105418783457,0.5422180123496118,0.32503193516816536,0.03823529411764706,0.023529411764705882,0.33874320117910506,0.07478309253348052
20211,11110530,사직동,44237803500,2071229,6645342801,32024228081,3545234149,914389970,32353682740,15559307060,8545030141,851,36,32,3686557,0.15021864277235195,0.480913013366589,0.19316126626856597,0.04230317273795535,0.03760282021151586,0.11070474954253122,0.028553068248427457
20212,11110530,사직동,56566171043,2647977,8936868491,39663610861,4231564876,1009404706,42264154774,20870138743,11514506879,855,38,29,3845446,0.15798963101473576,0.4938023451456519,0.2035581809178316,0.044444444444444446,0.03391812865497076,0.10668632492461161,0.025449137990422258
20213,11110530,사직동,49206732588,2533539,9055852264,33190397157,3749872612,907447956,37629952462,19336761227,10209450208,857,33,34,3440717,0.1840368540586343,0.5138662145939971,0.20748075864906684,0.038506417736289385,0.039673278879813305,0.11298064901911352,0.02734067783845772
