group,metric,unit,case_change,comparison_change,difference
성수,amount,growth,0.3532042858435229,0.323374268955398,0.02983001688812492
성수,count,growth,0.058368076304971206,0.05838827872634611,-2.0202421374904134e-05
성수,stores,growth,0.2486772486772486,0.05629673551404957,0.19238051316319904
성수,population,growth,-0.03059277367355806,0.0009751889584661555,-0.031567962632024216
성수,cafe_share,share_change,-0.020508694915214093,-0.023647111434493842,0.003138416519279749
성수,young_share,share_change,-0.01786745800396472,-0.06295062736320178,0.04508316935923706
성수,weekend_share,share_change,0.013169538036566869,0.01791439618218371,-0.004744858145616843
성수,opening_rate,share_change,-0.029226131923543452,-0.017035717749466987,-0.012190414174076465
성수,closure_rate,share_change,0.001883002515352096,0.0007284729666687806,0.0011545295486833154
성수,western_share_common,share_change,0.00013622722888910477,-0.00033522527964763293,0.0004714525085367377
성수,bakery_share_common,share_change,-0.006782916339113414,-0.018244746095183548,0.011461829756070133
연남,amount,growth,-0.01865312955100551,0.23945383556883915,-0.25810696511984466
연남,count,growth,-0.15645945798227012,0.04600339393222175,-0.20246285191449187
연남,stores,growth,0.148989898989899,0.050789229340761466,0.09820066964913754
연남,population,growth,-0.059344085204734554,-0.0362080494586956,-0.023136035746038952
연남,cafe_share,share_change,-0.0023693493942935073,-0.0015258310075614845,-0.0008435183867320228
연남,young_share,share_change,-0.004484637605625563,-0.04189606929312739,0.03741143168750183
연남,weekend_share,share_change,-0.00288754208371389,-0.001851135228403633,-0.0010364068553102568
연남,opening_rate,share_change,-0.03514997658852542,-0.022794563213517013,-0.012355413375008409
연남,closure_rate,share_change,0.01114410505777054,0.008224093425487217,0.002920011632283323
연남,western_share_common,share_change,-0.031204825166342876,-0.025244289203029735,-0.0059605359633131405
연남,bakery_share_common,share_change,0.010041400486864971,-0.03031712329072954,0.04035852377759451
용리단길,amount,growth,0.8122925350953065,0.318714008280242,0.49357852681506453
용리단길,count,growth,0.2578134512825796,0.042689507044462394,0.2151239442381172
용리단길,stores,growth,0.3716389244558258,0.11418731852252018,0.2574516059333056
용리단길,population,growth,0.12154302803696404,-0.03146015672973679,0.15300318476670083
용리단길,cafe_share,share_change,-0.03056056391941714,-0.015659420743150188,-0.014901143176266951
용리단길,young_share,share_change,0.0492886211186343,-0.05934536595248796,0.10863398707112226
용리단길,weekend_share,share_change,0.08833780771856009,0.021585436713622036,0.06675237100493805
용리단길,opening_rate,share_change,-0.02926668478660288,-0.022615444259667376,-0.006651240526935505
용리단길,closure_rate,share_change,-0.0022088638804769467,0.005075777569140114,-0.00728464144961706
용리단길,western_share_common,share_change,0.00849159992170568,-0.004809763788683898,0.013301363710389577
용리단길,bakery_share_common,share_change,-0.009245414409767352,-0.0031755938538632136,-0.006069820555904139
