case_admin,case_name,feature,case_baseline,control_baseline,standardized_difference
11170625,한강로동,log_amount,24.244489426146718,24.401480764312407,-0.1369958684354313
11170625,한강로동,log_count,14.16237203193396,14.500005140120109,-0.3051365173937773
11170625,한강로동,cafe_share,0.12062206458362879,0.09992236797108184,0.2402782814138896
11170625,한강로동,young_share,0.5573504592350655,0.5532448441690823,0.039088641350089964
11170625,한강로동,weekend_share,0.18152504579650713,0.19384853387358442,-0.2231986957158865
11170625,한강로동,log_stores,6.661854740545311,6.560851752278326,0.1287537225668079
11200650,성수1가1동,log_amount,22.753840434617132,22.93219753685681,-0.15564034550214229
11200650,성수1가1동,log_count,12.815836179105514,13.31443539576313,-0.45060992200530975
11200650,성수1가1동,cafe_share,0.08950480588877792,0.07494586764637047,0.16899748462864975
11200650,성수1가1동,young_share,0.5193822104820369,0.5025525393227406,0.16023152911636515
11200650,성수1가1동,weekend_share,0.34631703027740757,0.31531245541912023,0.561543990330742
11200650,성수1가1동,log_stores,5.338739281046952,5.362401840633613,-0.03016388608412389
11200660,성수1가2동,log_amount,23.79866240021366,23.641204276565194,0.1374032009885103
11200660,성수1가2동,log_count,14.012341550283166,14.078278112300904,-0.05959028429142892
11200660,성수1가2동,cafe_share,0.23660814421623538,0.21407933466214027,0.26151028893233313
11200660,성수1가2동,young_share,0.6142310084602741,0.5881561706646299,0.24825268966407732
11200660,성수1가2동,weekend_share,0.22941919711432948,0.23662804106277244,-0.13056405433658932
11200660,성수1가2동,log_stores,6.240763055899043,5.878724210938021,0.46150960285752046
11200670,성수2가1동,log_amount,23.40525265918688,23.57125559235238,-0.1448596862575631
11200670,성수2가1동,log_count,13.832341617660726,13.745191700843739,0.0787618911295612
11200670,성수2가1동,cafe_share,0.19001041235838118,0.1442445380815473,0.5312418739498006
11200670,성수2가1동,young_share,0.45963100459378087,0.44633303738629715,0.12660696692326126
11200670,성수2가1동,weekend_share,0.21427893049313407,0.21046769852929542,0.06902769719733692
11200670,성수2가1동,log_stores,5.950642552587727,5.65629127649871,0.37522476501954416
11200690,성수2가3동,log_amount,24.103673389521507,24.376770486660256,-0.23831361925351752
11200690,성수2가3동,log_count,14.349719596231274,14.575404337606432,-0.20396298331668244
11200690,성수2가3동,cafe_share,0.14317623498258186,0.12809784026308252,0.1750272401328584
11200690,성수2가3동,young_share,0.5823372297838854,0.557261412123782,0.23874124274270767
11200690,성수2가3동,weekend_share,0.18472744996118512,0.18298645674945957,0.031532258697937965
11200690,성수2가3동,log_stores,6.396095974467569,6.4609922641640996,-0.08272665019687887
11440710,연남동,log_amount,24.068844439672286,23.846910429438637,0.19366700623462582
11440710,연남동,log_count,13.95361090325997,13.942745641453623,0.009819499533002679
11440710,연남동,cafe_share,0.16213152928244198,0.11033366213758022,0.6012601407369603
11440710,연남동,young_share,0.709525631100465,0.6571047453739052,0.49908751027266657
11440710,연남동,weekend_share,0.3959529506418528,0.33695220057799335,1.0686009008283681
11440710,연남동,log_stores,6.79346613258001,6.2503396203327855,0.6923513994626544
